"user_id","treated","intervention_post_score","tenure","premium_user","comment_karma","link_karma","num_post_before","num_post_before_ss","num_sub_before","first_timer","posted","posted_ss","posted_oths","n_posts","l_n_posts","n_posts_ss","l_n_posts_ss","n_posts_oths","length","l_length_ss","l_length_oths"
1,0,332,597,0,11411,3636,12,0,2,0,1,0,1,10,2.39789533615112,0,0,10,14.6000003814697,0,2.74727082252502
2,1,44,363,0,320,1790,0,0,0,0,1,0,1,7,2.0794415473938,0,0,7,3111.85717773438,0,8.04329586029053
3,0,11,35,0,15,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,14,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1,3,31,0,0,8,0,0,0,0,1,1,0,2,1.0986123085022,2,1.0986123085022,0,1640.5,7.40336561203003,0
6,0,148,1025,0,1607,123,0,0,0,1,1,1,0,1,0.6931471824646,1,0.6931471824646,0,1641,7.40367031097412,0
7,0,11,2,0,0,84,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
8,1,112,363,0,5134,308,4,1,4,1,1,1,1,12,2.56494927406311,2,1.0986123085022,10,334.25,6.16015195846558,5.72880029678345
9,0,234,443,0,0,526,0,0,0,0,1,1,0,2,1.0986123085022,2,1.0986123085022,0,1122.5,7.02420425415039,0
10,0,46,1,0,0,29,1,0,1,1,1,0,1,2,1.0986123085022,0,0,2,44,0,3.80666255950928
11,0,5,182,0,770,891,5,0,5,1,1,0,1,3,1.3862943649292,0,0,3,0,0,0
12,0,6,819,0,10515,9524,11,0,7,1,0,0,0,0,0,0,0,0,0,0,0
13,0,22,1,0,0,14,0,0,0,1,1,1,0,1,0.6931471824646,1,0.6931471824646,0,765,6.64118194580078,0
14,1,15,5,0,0,30,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,21,1,0,1,236,3,0,3,1,1,0,1,3,1.3862943649292,0,0,3,0,0,0
16,1,9,2028,0,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,7,209,0,1782,192,6,0,3,0,1,0,1,10,2.39789533615112,0,0,10,0.400000005960464,0,0.336472243070602
18,1,9,48,0,0,5,0,0,0,0,1,1,0,1,0.6931471824646,1,0.6931471824646,0,905,6.80903911590576,0
19,0,63,3763,0,896,992,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
20,1,69,218,0,2957,131,1,0,1,1,1,0,1,1,0.6931471824646,0,0,1,0,0,0
21,1,230,2,0,13,146,0,0,0,1,1,1,1,5,1.7917594909668,4,1.60943794250488,1,2025.80004882812,7.83409547805786,3.49650764465332
22,0,9,2064,0,4382,1467,1,1,1,1,1,0,1,2,1.0986123085022,0,0,2,0,0,0
23,1,6,781,0,1892,2750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0,21,45,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,0,4,4,0,0,2,0,0,0,1,1,1,0,1,0.6931471824646,1,0.6931471824646,0,5040,8.52536010742188,0
26,1,3,1249,0,486,1178,0,0,0,0,1,1,1,7,2.0794415473938,1,0.6931471824646,6,611,8.21500682830811,4.58496761322021
27,0,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,0,87,243,0,2995,905,1,0,1,0,1,0,1,4,1.60943794250488,0,0,4,60.5,0,4.11903715133667
29,1,19,695,0,27456,1942,2,0,2,1,1,0,1,2,1.0986123085022,0,0,2,0,0,0
30,0,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,0,82,1519,0,7539,9712,2,0,2,0,1,1,1,2,1.0986123085022,1,0.6931471824646,1,1000,6.90875482559204,6.90875482559204
32,1,42,1260,0,24452,2557,4,1,3,0,1,0,1,1,0.6931471824646,0,0,1,0,0,0
33,1,3,1311,0,31,57,0,0,0,0,1,0,1,3,1.3862943649292,0,0,3,0,0,0
34,1,6,286,0,2,548,2,2,1,0,1,0,1,1,0.6931471824646,0,0,1,412,0,6.02344751358032
35,0,23,1022,0,507,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,3,0,0,0,2,0,0,0,1,1,1,0,1,0.6931471824646,1,0.6931471824646,0,303,5.71702766418457,0
37,1,17,406,0,5127,1214,2,0,2,0,1,1,1,5,1.7917594909668,1,0.6931471824646,4,303.799987792969,7.02731466293335,4.59764194488525
38,0,12,179,0,352,2435,2,0,2,0,1,0,1,1,0.6931471824646,0,0,1,1150,0,7.0483865737915
39,0,16,54,0,11,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,0,96,6,0,13,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,1,6,1,0,0,10,1,1,1,0,1,1,1,4,1.60943794250488,2,1.0986123085022,2,1748.25,6.93682861328125,7.81156826019287
42,1,52,0,0,0,27,0,0,0,1,1,1,1,23,3.178053855896,12,2.56494927406311,11,938.434753417969,7.44517421722412,4.57564783096313
43,1,11,1757,0,2982,760,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,1,21,16,0,0,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
45,0,40,283,0,55,653,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0,723,235,0,154,579,0,0,0,0,1,1,0,6,1.94591009616852,6,1.94591009616852,0,1698.33337402344,7.43799114227295,0
49,0,14,15,0,2017,73,6,1,2,0,1,1,1,8,2.19722461700439,1,0.6931471824646,7,159.375,7.08506441116333,2.54272627830505
50,1,6,20,0,0,38,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
51,0,40,769,0,98,124,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
52,0,3,1607,0,219,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,1,3,0,0,108,1,0,0,0,1,1,0,1,3,1.3862943649292,0,0,3,8.33333301544189,0,2.23359227180481
54,1,67,622,0,11970,10495,3,0,2,1,1,1,1,3,1.3862943649292,1,0.6931471824646,2,930.333312988281,7.2420825958252,6.5489354133606
55,0,25,218,0,17,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,16,9,0,77,115,20,1,7,1,1,0,1,15,2.7725887298584,0,0,15,86.0666656494141,0,4.46667432785034
57,1,51,674,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,1,12,596,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1,5,772,0,1044,86,4,0,3,1,1,1,1,10,2.39789533615112,4,1.60943794250488,6,245.600006103516,6.36259698867798,3.19867300987244
60,1,87,1184,0,13069,24943,2,2,1,0,1,1,0,3,1.3862943649292,3,1.3862943649292,0,1491.33337402344,7.30809640884399,0
61,1,11,166,0,0,6,0,0,0,1,1,0,1,1,0.6931471824646,0,0,1,1253,0,7.13409376144409
62,1,13,302,0,924,468,7,0,4,1,1,0,1,13,2.63905739784241,0,0,13,121.384613037109,0,4.80716848373413
63,1,7,171,0,0,2,0,0,0,1,1,1,0,1,0.6931471824646,1,0.6931471824646,0,1277,7.15305185317993,0
64,0,81,1,0,1,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,1,151,25,0,226,3185,8,8,1,0,1,1,0,7,2.0794415473938,7,2.0794415473938,0,1322.71423339844,7.18819665908813,0
66,0,17,667,0,221,273,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,1,4,12,0,0,10,3,1,3,1,1,0,1,2,1.0986123085022,0,0,2,3716,0,8.22067260742188
68,1,84,466,0,1832,1036,1,0,1,0,1,1,1,4,1.60943794250488,1,0.6931471824646,3,390,7.35308170318604,0
69,1,15,10,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,0,4,7,0,143,341,8,0,6,1,1,1,1,2,1.0986123085022,1,0.6931471824646,1,203,6.00881338119507,0
71,0,11,1256,0,29781,5323,5,0,2,1,1,0,1,2,1.0986123085022,0,0,2,233.5,0,5.4574556350708
72,0,8,45,0,1365,9,1,1,1,0,1,1,1,5,1.7917594909668,1,0.6931471824646,4,2042.59997558594,8.53149032592773,7.15968084335327
73,0,4,10,0,6,17,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
74,0,180,2548,0,8812,3061,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,0,5,177,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,1,6,2,0,6,11,1,0,1,1,1,1,1,8,2.19722461700439,1,0.6931471824646,7,118.625,6.81892395019531,1.7917594909668
77,0,61,1809,0,11735,1316,3,3,1,0,1,1,0,2,1.0986123085022,2,1.0986123085022,0,5769,8.66042709350586,0
78,1,25,3,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,1,12,612,0,106,380,0,0,0,0,1,0,1,6,1.94591009616852,0,0,6,133.83332824707,0,4.90403938293457
80,0,18,673,1,37242,2842,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,1,84,2477,0,952,10945,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82,0,22,1849,0,381,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,17,976,0,63,15,2,0,2,1,1,0,1,6,1.94591009616852,0,0,6,150,0,5.01727962493896
84,1,5,373,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,18,3,0,0,11,3,0,2,1,1,1,1,6,1.94591009616852,1,0.6931471824646,5,392.333343505859,7.76302146911621,0.470003634691238
86,0,6,1029,0,26,170,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,1,42,287,0,0,21,0,0,0,1,1,1,0,1,0.6931471824646,1,0.6931471824646,0,596,6.39191722869873,0
88,0,75,330,0,1060,233,4,0,4,1,1,0,1,1,0.6931471824646,0,0,1,0,0,0
89,0,6,0,0,0,38,1,0,1,1,1,0,1,10,2.39789533615112,0,0,10,1122.69995117188,0,7.0243821144104
90,1,9,1156,0,235,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,1,3,364,0,445,298,1,0,1,1,1,0,1,1,0.6931471824646,0,0,1,0,0,0
92,0,64,27,0,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
